regressor,optimal_k,best_silhouette
XAUUSD,2,0.2237868371433754
WTI,2,0.20629070352215298
DXY,2,0.22356551736021343
SPX_Index,2,0.29739586156722037
US_fed_funds_effe_rate,2,0.2936622648286973
CPI_CHNG_Index,2,0.1329003426024424
M_0,2,0.3580478157198698
BOJ_rate,2,0.3834712822504003
Carbon_Price_Index,2,0.2899227644997025
CO,2,0.09937835584611401
AQI,2,0.15184728229793595
Temperature,2,0.1721138313564373
